Test,Name,Yield,Min,Target,Max,Mean,Std Dev,Cpk,Errors
,diff(summary),100% (10/10),-13.14e-3,,5.433e-3,-1.7e-3,5.719e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=1.8,ch2=1.8,ch3=0,ch4=0,ch5=0,ch6=1.8,ch7=1.8",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-107.7e-3,,32.49e-3,-770.2e-6,42.23e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=1.8,ch2=1.8,ch3=0,ch4=0,ch5=0,ch6=1.8,ch7=0",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-158.5e-3,,-33.36e-3,-73.15e-3,39.83e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=1.8,ch2=1.8,ch3=0,ch4=0,ch5=0,ch6=0,ch7=1.8",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),39.4e-3,,97.97e-3,70.98e-3,18.4e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=1.8,ch2=1.8,ch3=0,ch4=0,ch5=0,ch6=0,ch7=0",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-11.16e-3,,5.415e-3,-1.399e-3,5.401e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=1.8,ch2=1.8,ch3=0,ch4=0,ch5=1.8,ch6=1.8,ch7=1.8",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),15.05e-3,,222e-3,163.9e-3,60.55e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=1.8,ch2=1.8,ch3=0,ch4=0,ch5=1.8,ch6=1.8,ch7=0",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-155.5e-3,,-28.96e-3,-68.79e-3,40.04e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=1.8,ch2=1.8,ch3=0,ch4=0,ch5=1.8,ch6=0,ch7=1.8",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),162.1e-3,,297.2e-3,235.3e-3,44.76e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=1.8,ch2=1.8,ch3=0,ch4=0,ch5=1.8,ch6=0,ch7=0",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-7.96e-3,,10.69e-3,3.135e-3,5.933e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=1.8,ch2=1.8,ch3=0,ch4=1.8,ch5=0,ch6=1.8,ch7=1.8",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-311.9e-3,,-117e-3,-171.9e-3,62.77e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=1.8,ch2=1.8,ch3=0,ch4=1.8,ch5=0,ch6=1.8,ch7=0",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-361.8e-3,,-181.9e-3,-243.9e-3,58.09e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=1.8,ch2=1.8,ch3=0,ch4=1.8,ch5=0,ch6=0,ch7=1.8",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),33.93e-3,,94.12e-3,66.39e-3,18.7e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=1.8,ch2=1.8,ch3=0,ch4=1.8,ch5=0,ch6=0,ch7=0",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-16.36e-3,,1.061e-3,-5.951e-3,5.386e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=1.8,ch2=1.8,ch3=0,ch4=1.8,ch5=1.8,ch6=1.8,ch7=1.8",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-190.2e-3,,69.73e-3,-7.203e-3,80.2e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=1.8,ch2=1.8,ch3=0,ch4=1.8,ch5=1.8,ch6=1.8,ch7=0",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-359.8e-3,,-179e-3,-240e-3,58.6e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=1.8,ch2=1.8,ch3=0,ch4=1.8,ch5=1.8,ch6=0,ch7=1.8",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),156.9e-3,,293.8e-3,231.3e-3,45.05e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=1.8,ch2=1.8,ch3=0,ch4=1.8,ch5=1.8,ch6=0,ch7=0",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-13.55e-3,,6.315e-3,-1.483e-3,6.081e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=1.8,ch2=1.8,ch3=1.8,ch4=0,ch5=0,ch6=1.8,ch7=1.8",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-108e-3,,32.26e-3,-859.8e-6,42.25e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=1.8,ch2=1.8,ch3=1.8,ch4=0,ch5=0,ch6=1.8,ch7=0",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-159.3e-3,,-33.31e-3,-73.35e-3,39.98e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=1.8,ch2=1.8,ch3=1.8,ch4=0,ch5=0,ch6=0,ch7=1.8",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),39.33e-3,,97.69e-3,71.01e-3,18.48e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=1.8,ch2=1.8,ch3=1.8,ch4=0,ch5=0,ch6=0,ch7=0",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-11.13e-3,,5.35e-3,-1.378e-3,5.405e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=1.8,ch2=1.8,ch3=1.8,ch4=0,ch5=1.8,ch6=1.8,ch7=1.8",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),12.31e-3,,218.1e-3,164e-3,57.5e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=1.8,ch2=1.8,ch3=1.8,ch4=0,ch5=1.8,ch6=1.8,ch7=0",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-156e-3,,-29.12e-3,-69e-3,40.08e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=1.8,ch2=1.8,ch3=1.8,ch4=0,ch5=1.8,ch6=0,ch7=1.8",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),159.5e-3,,283.6e-3,234.9e-3,42.13e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=1.8,ch2=1.8,ch3=1.8,ch4=0,ch5=1.8,ch6=0,ch7=0",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-7.998e-3,,10.5e-3,3.108e-3,5.881e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=1.8,ch2=1.8,ch3=1.8,ch4=1.8,ch5=0,ch6=1.8,ch7=1.8",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-313.4e-3,,-117.5e-3,-173.2e-3,62.8e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=1.8,ch2=1.8,ch3=1.8,ch4=1.8,ch5=0,ch6=1.8,ch7=0",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-362.8e-3,,-182.6e-3,-244.5e-3,58.14e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=1.8,ch2=1.8,ch3=1.8,ch4=1.8,ch5=0,ch6=0,ch7=1.8",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),34.06e-3,,94.02e-3,66.61e-3,18.72e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=1.8,ch2=1.8,ch3=1.8,ch4=1.8,ch5=0,ch6=0,ch7=0",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-16.71e-3,,982.6e-6,-6.019e-3,5.514e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=1.8,ch2=1.8,ch3=1.8,ch4=1.8,ch5=1.8,ch6=1.8,ch7=1.8",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-93.94e-3,,23.19e-3,-5.494e-3,35.28e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=1.8,ch2=1.8,ch3=1.8,ch4=1.8,ch5=1.8,ch6=1.8,ch7=0",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-361.8e-3,,-179.8e-3,-241.4e-3,58.72e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=1.8,ch2=1.8,ch3=1.8,ch4=1.8,ch5=1.8,ch6=0,ch7=1.8",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),154.7e-3,,280.9e-3,231.7e-3,42.66e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=1.8,ch2=1.8,ch3=1.8,ch4=1.8,ch5=1.8,ch6=0,ch7=0",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-13.57e-3,,6.265e-3,-1.53e-3,6.021e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=1.8,ch2=0,ch3=0,ch4=0,ch5=0,ch6=1.8,ch7=1.8",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-107.3e-3,,31.99e-3,-836.5e-6,42.03e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=1.8,ch2=0,ch3=0,ch4=0,ch5=0,ch6=1.8,ch7=0",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-157.8e-3,,-33.83e-3,-73.22e-3,39.54e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=1.8,ch2=0,ch3=0,ch4=0,ch5=0,ch6=0,ch7=1.8",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),39.25e-3,,97.82e-3,70.84e-3,18.4e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=1.8,ch2=0,ch3=0,ch4=0,ch5=0,ch6=0,ch7=0",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-11.17e-3,,5.45e-3,-1.346e-3,5.453e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=1.8,ch2=0,ch3=0,ch4=0,ch5=1.8,ch6=1.8,ch7=1.8",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),15.44e-3,,221.2e-3,163.3e-3,60.25e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=1.8,ch2=0,ch3=0,ch4=0,ch5=1.8,ch6=1.8,ch7=0",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-154.7e-3,,-29.38e-3,-68.79e-3,39.72e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=1.8,ch2=0,ch3=0,ch4=0,ch5=1.8,ch6=0,ch7=1.8",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),161.9e-3,,296.9e-3,234.9e-3,44.75e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=1.8,ch2=0,ch3=0,ch4=0,ch5=1.8,ch6=0,ch7=0",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-7.962e-3,,10.74e-3,3.074e-3,5.93e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=1.8,ch2=0,ch3=0,ch4=1.8,ch5=0,ch6=1.8,ch7=1.8",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-286.7e-3,,-114.6e-3,-174.2e-3,53.65e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=1.8,ch2=0,ch3=0,ch4=1.8,ch5=0,ch6=1.8,ch7=0",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-336.9e-3,,-179.4e-3,-246.1e-3,48.37e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=1.8,ch2=0,ch3=0,ch4=1.8,ch5=0,ch6=0,ch7=1.8",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),34.42e-3,,94.22e-3,66.24e-3,18.62e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=1.8,ch2=0,ch3=0,ch4=1.8,ch5=0,ch6=0,ch7=0",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-16.18e-3,,614.1e-6,-6.101e-3,5.264e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=1.8,ch2=0,ch3=0,ch4=1.8,ch5=1.8,ch6=1.8,ch7=1.8",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-164.7e-3,,77.71e-3,-10.02e-3,69.18e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=1.8,ch2=0,ch3=0,ch4=1.8,ch5=1.8,ch6=1.8,ch7=0",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-334.3e-3,,-176.5e-3,-242.2e-3,48.63e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=1.8,ch2=0,ch3=0,ch4=1.8,ch5=1.8,ch6=0,ch7=1.8",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),157e-3,,293.4e-3,230.5e-3,44.85e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=1.8,ch2=0,ch3=0,ch4=1.8,ch5=1.8,ch6=0,ch7=0",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-12.91e-3,,5.893e-3,-1.587e-3,5.741e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=1.8,ch2=0,ch3=1.8,ch4=0,ch5=0,ch6=1.8,ch7=1.8",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-107.3e-3,,31.77e-3,-953.8e-6,41.97e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=1.8,ch2=0,ch3=1.8,ch4=0,ch5=0,ch6=1.8,ch7=0",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-157.9e-3,,-33.83e-3,-73.27e-3,39.51e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=1.8,ch2=0,ch3=1.8,ch4=0,ch5=0,ch6=0,ch7=1.8",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),39.31e-3,,97.56e-3,70.94e-3,18.42e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=1.8,ch2=0,ch3=1.8,ch4=0,ch5=0,ch6=0,ch7=0",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-11.18e-3,,5.385e-3,-1.436e-3,5.443e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=1.8,ch2=0,ch3=1.8,ch4=0,ch5=1.8,ch6=1.8,ch7=1.8",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),12.5e-3,,217.3e-3,162.6e-3,57.18e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=1.8,ch2=0,ch3=1.8,ch4=0,ch5=1.8,ch6=1.8,ch7=0",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-154.8e-3,,-29.58e-3,-68.96e-3,39.65e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=1.8,ch2=0,ch3=1.8,ch4=0,ch5=1.8,ch6=0,ch7=1.8",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),158.9e-3,,283e-3,234e-3,42.08e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=1.8,ch2=0,ch3=1.8,ch4=0,ch5=1.8,ch6=0,ch7=0",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-8.018e-3,,10.27e-3,3.07e-3,5.86e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=1.8,ch2=0,ch3=1.8,ch4=1.8,ch5=0,ch6=1.8,ch7=1.8",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-287.6e-3,,-114.6e-3,-174.8e-3,53.67e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=1.8,ch2=0,ch3=1.8,ch4=1.8,ch5=0,ch6=1.8,ch7=0",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-337.6e-3,,-180e-3,-246.7e-3,48.38e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=1.8,ch2=0,ch3=1.8,ch4=1.8,ch5=0,ch6=0,ch7=1.8",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),34.29e-3,,93.89e-3,66.31e-3,18.69e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=1.8,ch2=0,ch3=1.8,ch4=1.8,ch5=0,ch6=0,ch7=0",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-16.26e-3,,549.8e-6,-6.114e-3,5.27e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=1.8,ch2=0,ch3=1.8,ch4=1.8,ch5=1.8,ch6=1.8,ch7=1.8",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-169e-3,,62.81e-3,-11.3e-3,67.34e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=1.8,ch2=0,ch3=1.8,ch4=1.8,ch5=1.8,ch6=1.8,ch7=0",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-335.5e-3,,-176.7e-3,-242.9e-3,48.68e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=1.8,ch2=0,ch3=1.8,ch4=1.8,ch5=1.8,ch6=0,ch7=1.8",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),154.5e-3,,279.8e-3,230.1e-3,42.25e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=1.8,ch2=0,ch3=1.8,ch4=1.8,ch5=1.8,ch6=0,ch7=0",,,,,,,,,
