Test,Name,Yield,Min,Target,Max,Mean,Std Dev,Cpk,Errors
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-12.96e-3,,5.705e-3,-1.691e-3,5.764e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=0,ch2=1.8,ch3=0,ch4=0,ch5=0,ch6=1.8,ch7=1.8",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-108e-3,,31.95e-3,-770.8e-6,42.36e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=0,ch2=1.8,ch3=0,ch4=0,ch5=0,ch6=1.8,ch7=0",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-158.9e-3,,-33.36e-3,-73.07e-3,39.96e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=0,ch2=1.8,ch3=0,ch4=0,ch5=0,ch6=0,ch7=1.8",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),39.23e-3,,98.3e-3,70.88e-3,18.33e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=0,ch2=1.8,ch3=0,ch4=0,ch5=0,ch6=0,ch7=0",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-11.19e-3,,5.473e-3,-1.378e-3,5.404e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=0,ch2=1.8,ch3=0,ch4=0,ch5=1.8,ch6=1.8,ch7=1.8",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),15.09e-3,,230.7e-3,164.9e-3,59.54e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=0,ch2=1.8,ch3=0,ch4=0,ch5=1.8,ch6=1.8,ch7=0",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-155.3e-3,,-28.58e-3,-68.52e-3,40.16e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=0,ch2=1.8,ch3=0,ch4=0,ch5=1.8,ch6=0,ch7=1.8",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),162.2e-3,,311.1e-3,236.4e-3,40.95e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=0,ch2=1.8,ch3=0,ch4=0,ch5=1.8,ch6=0,ch7=0",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-7.973e-3,,10.31e-3,3.107e-3,5.815e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=0,ch2=1.8,ch3=0,ch4=1.8,ch5=0,ch6=1.8,ch7=1.8",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-311.1e-3,,-115.9e-3,-171.1e-3,62.78e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=0,ch2=1.8,ch3=0,ch4=1.8,ch5=0,ch6=1.8,ch7=0",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-361.1e-3,,-180.7e-3,-243.2e-3,58.16e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=0,ch2=1.8,ch3=0,ch4=1.8,ch5=0,ch6=0,ch7=1.8",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),33.75e-3,,94.48e-3,66.35e-3,18.63e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=0,ch2=1.8,ch3=0,ch4=1.8,ch5=0,ch6=0,ch7=0",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-16.35e-3,,1.467e-3,-5.915e-3,5.43e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=0,ch2=1.8,ch3=0,ch4=1.8,ch5=1.8,ch6=1.8,ch7=1.8",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-188.6e-3,,84.29e-3,-5.697e-3,79.36e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=0,ch2=1.8,ch3=0,ch4=1.8,ch5=1.8,ch6=1.8,ch7=0",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-358.6e-3,,-177.8e-3,-239.2e-3,58.56e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=0,ch2=1.8,ch3=0,ch4=1.8,ch5=1.8,ch6=0,ch7=1.8",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),156.9e-3,,307.2e-3,232.1e-3,41.29e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=0,ch2=1.8,ch3=0,ch4=1.8,ch5=1.8,ch6=0,ch7=0",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-13.57e-3,,6.372e-3,-1.477e-3,6.022e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=0,ch2=1.8,ch3=1.8,ch4=0,ch5=0,ch6=1.8,ch7=1.8",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-107.6e-3,,31.76e-3,-771.7e-6,42.2e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=0,ch2=1.8,ch3=1.8,ch4=0,ch5=0,ch6=1.8,ch7=0",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-158.5e-3,,-33.36e-3,-73.02e-3,39.92e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=0,ch2=1.8,ch3=1.8,ch4=0,ch5=0,ch6=0,ch7=1.8",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),39.31e-3,,98.04e-3,70.97e-3,18.35e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=0,ch2=1.8,ch3=1.8,ch4=0,ch5=0,ch6=0,ch7=0",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-11.16e-3,,5.406e-3,-1.365e-3,5.391e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=0,ch2=1.8,ch3=1.8,ch4=0,ch5=1.8,ch6=1.8,ch7=1.8",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),12.18e-3,,217.6e-3,164.2e-3,56.95e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=0,ch2=1.8,ch3=1.8,ch4=0,ch5=1.8,ch6=1.8,ch7=0",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-155.5e-3,,-28.62e-3,-68.64e-3,40.12e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=0,ch2=1.8,ch3=1.8,ch4=0,ch5=1.8,ch6=0,ch7=1.8",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),159.2e-3,,298.1e-3,235.6e-3,39.01e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=0,ch2=1.8,ch3=1.8,ch4=0,ch5=1.8,ch6=0,ch7=0",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-8.425e-3,,10.56e-3,3.007e-3,5.95e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=0,ch2=1.8,ch3=1.8,ch4=1.8,ch5=0,ch6=1.8,ch7=1.8",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-311.9e-3,,-115.9e-3,-171.9e-3,62.72e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=0,ch2=1.8,ch3=1.8,ch4=1.8,ch5=0,ch6=1.8,ch7=0",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-361.7e-3,,-181.4e-3,-243.7e-3,58.17e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=0,ch2=1.8,ch3=1.8,ch4=1.8,ch5=0,ch6=0,ch7=1.8",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),33.83e-3,,94.25e-3,66.42e-3,18.66e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=0,ch2=1.8,ch3=1.8,ch4=1.8,ch5=0,ch6=0,ch7=0",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-16.76e-3,,1.496e-3,-6.028e-3,5.408e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=0,ch2=1.8,ch3=1.8,ch4=1.8,ch5=1.8,ch6=1.8,ch7=1.8",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-193e-3,,70.32e-3,-6.909e-3,76.88e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=0,ch2=1.8,ch3=1.8,ch4=1.8,ch5=1.8,ch6=1.8,ch7=0",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-359.7e-3,,-178e-3,-239.9e-3,58.57e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=0,ch2=1.8,ch3=1.8,ch4=1.8,ch5=1.8,ch6=0,ch7=1.8",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),154.2e-3,,294.7e-3,231.7e-3,39.44e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=0,ch2=1.8,ch3=1.8,ch4=1.8,ch5=1.8,ch6=0,ch7=0",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-14.04e-3,,6.007e-3,-1.511e-3,6.031e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=0,ch2=0,ch3=0,ch4=0,ch5=0,ch6=1.8,ch7=1.8",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-107.3e-3,,31.4e-3,-879.3e-6,42.04e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=0,ch2=0,ch3=0,ch4=0,ch5=0,ch6=1.8,ch7=0",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-157.7e-3,,-33.81e-3,-73.05e-3,39.49e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=0,ch2=0,ch3=0,ch4=0,ch5=0,ch6=0,ch7=1.8",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),38.94e-3,,98.1e-3,70.66e-3,18.34e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=0,ch2=0,ch3=0,ch4=0,ch5=0,ch6=0,ch7=0",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-11.21e-3,,5.519e-3,-1.432e-3,5.403e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=0,ch2=0,ch3=0,ch4=0,ch5=1.8,ch6=1.8,ch7=1.8",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),15.56e-3,,230.7e-3,164.4e-3,59.24e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=0,ch2=0,ch3=0,ch4=0,ch5=1.8,ch6=1.8,ch7=0",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-154.5e-3,,-29.05e-3,-68.52e-3,39.77e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=0,ch2=0,ch3=0,ch4=0,ch5=1.8,ch6=0,ch7=1.8",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),161.9e-3,,310.8e-3,236e-3,40.97e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=0,ch2=0,ch3=0,ch4=0,ch5=1.8,ch6=0,ch7=0",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-7.987e-3,,10.24e-3,3.186e-3,5.816e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=0,ch2=0,ch3=0,ch4=1.8,ch5=0,ch6=1.8,ch7=1.8",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-286.2e-3,,-113.1e-3,-173.6e-3,53.79e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=0,ch2=0,ch3=0,ch4=1.8,ch5=0,ch6=1.8,ch7=0",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-336.3e-3,,-179e-3,-245.7e-3,48.31e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=0,ch2=0,ch3=0,ch4=1.8,ch5=0,ch6=0,ch7=1.8",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),34.25e-3,,94.54e-3,66.13e-3,18.55e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=0,ch2=0,ch3=0,ch4=1.8,ch5=0,ch6=0,ch7=0",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-16.24e-3,,641.1e-6,-6.13e-3,5.259e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=0,ch2=0,ch3=0,ch4=1.8,ch5=1.8,ch6=1.8,ch7=1.8",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-163.7e-3,,92.13e-3,-8.469e-3,69.47e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=0,ch2=0,ch3=0,ch4=1.8,ch5=1.8,ch6=1.8,ch7=0",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-333.5e-3,,-175.4e-3,-241.4e-3,48.71e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=0,ch2=0,ch3=0,ch4=1.8,ch5=1.8,ch6=0,ch7=1.8",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),157.2e-3,,307.3e-3,231.6e-3,41.15e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=0,ch2=0,ch3=0,ch4=1.8,ch5=1.8,ch6=0,ch7=0",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-12.91e-3,,5.382e-3,-1.551e-3,5.719e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=0,ch2=0,ch3=1.8,ch4=0,ch5=0,ch6=1.8,ch7=1.8",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-107.4e-3,,31.34e-3,-842.7e-6,42.03e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=0,ch2=0,ch3=1.8,ch4=0,ch5=0,ch6=1.8,ch7=0",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-157.7e-3,,-33.85e-3,-73.12e-3,39.5e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=0,ch2=0,ch3=1.8,ch4=0,ch5=0,ch6=0,ch7=1.8",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),39.14e-3,,97.9e-3,70.84e-3,18.36e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=0,ch2=0,ch3=1.8,ch4=0,ch5=0,ch6=0,ch7=0",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-11.18e-3,,5.466e-3,-1.331e-3,5.327e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=0,ch2=0,ch3=1.8,ch4=0,ch5=1.8,ch6=1.8,ch7=1.8",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),12.57e-3,,217.5e-3,163.6e-3,56.67e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=0,ch2=0,ch3=1.8,ch4=0,ch5=1.8,ch6=1.8,ch7=0",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-154.7e-3,,-28.98e-3,-68.57e-3,39.79e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=0,ch2=0,ch3=1.8,ch4=0,ch5=1.8,ch6=0,ch7=1.8",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),159e-3,,297.7e-3,235.2e-3,38.95e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=0,ch2=0,ch3=1.8,ch4=0,ch5=1.8,ch6=0,ch7=0",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-8.042e-3,,10.17e-3,3.138e-3,5.787e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=0,ch2=0,ch3=1.8,ch4=1.8,ch5=0,ch6=1.8,ch7=1.8",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-286.7e-3,,-113.3e-3,-174.1e-3,53.7e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=0,ch2=0,ch3=1.8,ch4=1.8,ch5=0,ch6=1.8,ch7=0",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-336.7e-3,,-178.9e-3,-246e-3,48.4e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=0,ch2=0,ch3=1.8,ch4=1.8,ch5=0,ch6=0,ch7=1.8",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),34.32e-3,,94.29e-3,66.24e-3,18.59e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=0,ch2=0,ch3=1.8,ch4=1.8,ch5=0,ch6=0,ch7=0",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-16.11e-3,,605e-6,-6.055e-3,5.276e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=0,ch2=0,ch3=1.8,ch4=1.8,ch5=1.8,ch6=1.8,ch7=1.8",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-167.5e-3,,78.35e-3,-9.71e-3,67.95e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=0,ch2=0,ch3=1.8,ch4=1.8,ch5=1.8,ch6=1.8,ch7=0",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-334.3e-3,,-175.4e-3,-242e-3,48.73e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=0,ch2=0,ch3=1.8,ch4=1.8,ch5=1.8,ch6=0,ch7=1.8",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),154.1e-3,,294.2e-3,230.9e-3,39.23e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=1.8,ch1=0,ch2=0,ch3=1.8,ch4=1.8,ch5=1.8,ch6=0,ch7=0",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-12.98e-3,,5.623e-3,-1.632e-3,5.722e-3,,0

